x	y	key	tooltip	clickSelects	showSelected1
0.473198887275409	0.436690716836772	4	fold 4 featureless=0.473 rpart=0.437	4	sin hard 785
0.534957292162006	0.477382908804715	5	fold 5 featureless=0.535 rpart=0.477	5	sin hard 785
0.510318811072497	0.45489285200673	6	fold 6 featureless=0.510 rpart=0.455	6	sin hard 785
0.49266846896258	0.409436861038045	1	fold 1 featureless=0.493 rpart=0.409	1	sin hard 1072
0.521202746850704	0.475559636622017	2	fold 2 featureless=0.521 rpart=0.476	2	sin hard 1072
0.556893384519127	0.499255525813672	3	fold 3 featureless=0.557 rpart=0.499	3	sin hard 1072
0.470932342635274	0.43054028939978	4	fold 4 featureless=0.471 rpart=0.431	4	sin hard 1072
0.537171549790321	0.482536347688508	5	fold 5 featureless=0.537 rpart=0.483	5	sin hard 1072
0.507690888766624	0.447241903077702	6	fold 6 featureless=0.508 rpart=0.447	6	sin hard 1072
0.492533447225177	0.41603325778924	1	fold 1 featureless=0.493 rpart=0.416	1	sin hard 1464
0.521130428463927	0.479195862087036	2	fold 2 featureless=0.521 rpart=0.479	2	sin hard 1464
0.556892303905377	0.495348630985482	3	fold 3 featureless=0.557 rpart=0.495	3	sin hard 1464
0.470584943125713	0.412598388945545	4	fold 4 featureless=0.471 rpart=0.413	4	sin hard 1464
0.537230124846618	0.48547743459507	5	fold 5 featureless=0.537 rpart=0.485	5	sin hard 1464
0.507393719790432	0.437819936404739	6	fold 6 featureless=0.507 rpart=0.438	6	sin hard 1464
0.492079128264039	0.414088254910983	1	fold 1 featureless=0.492 rpart=0.414	1	sin hard 2000
0.521597407293712	0.477620468774597	2	fold 2 featureless=0.522 rpart=0.478	2	sin hard 2000
0.556815944350565	0.513319835817378	3	fold 3 featureless=0.557 rpart=0.513	3	sin hard 2000
0.471215033227112	0.431265724288338	4	fold 4 featureless=0.471 rpart=0.431	4	sin hard 2000
0.537077668555983	0.483189179584077	5	fold 5 featureless=0.537 rpart=0.483	5	sin hard 2000
0.507826296436182	0.437926585086293	6	fold 6 featureless=0.508 rpart=0.438	6	sin hard 2000
